metabolite,SampleID,flux,description
ocdca_m,SRR19820314,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820314,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820314,1.00E-06,Xanthine
ppi_m,SRR19820314,0.000198736,Diphosphate
2hyoxplac_m,SRR19820314,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820314,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820314,1.00E-06,Hypoxanthine
thymd_m,SRR19820314,1.00E-06,Thymidine
apio_D_m,SRR19820314,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820314,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820314,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820314,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820314,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820314,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820330,41.85168997,proton
mqn8_m,SRR19820330,9.220367985,Menaquinone 8
h2s_m,SRR19820330,0.649729859,Hydrogen sulfide
so4_m,SRR19820330,0.913740846,sulfate
co2_m,SRR19820330,1.00E-06,carbon dioxide
tma_m,SRR19820330,1.00E-06,trimethylamine
mqn7_m,SRR19820330,5.736369162,Menaquinone 7
tmao_m,SRR19820330,5.276800592,Trimethylamine N-oxide
ppa_m,SRR19820330,1.00E-06,propionate
h2o_m,SRR19820330,2.246011749,Water
so3_m,SRR19820330,3.831349627,Sulfite
tsul_m,SRR19820330,1.00E-06,thiosulfate(2-)
pac_m,SRR19820330,1.00E-06,phenylacetate
4hbz_m,SRR19820330,0.806181812,4-hydroxybenzoate
o2_m,SRR19820330,1.00E-06,O2
btd_RR_m,SRR19820330,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820330,1.00E-06,L-fucose
phenol_m,SRR19820330,1.00E-06,Phenol
isobut_m,SRR19820330,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820330,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820330,1.00E-06,Citrate
4hoxpacd_m,SRR19820330,1.00E-06,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820330,1.00E-06,Isocaproate
nac_m,SRR19820330,0.095623854,Nicotinate
2obut_m,SRR19820330,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820330,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820330,1.00E-06,D-gluconate
ttdca_m,SRR19820330,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820330,0.0813564,Riboflavin
ch4s_m,SRR19820330,1.00E-06,Methanethiol
ocdca_m,SRR19820330,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820330,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820330,1.00E-06,Xanthine
ppi_m,SRR19820330,0.000346748,Diphosphate
2hyoxplac_m,SRR19820330,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820330,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820330,0.001433874,Hypoxanthine
thymd_m,SRR19820330,1.00E-06,Thymidine
apio_D_m,SRR19820330,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820330,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820330,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820330,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820330,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820330,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820352,42.14561062,proton
mqn8_m,SRR19820352,1.00E-06,Menaquinone 8
h2s_m,SRR19820352,1.00E-06,Hydrogen sulfide
so4_m,SRR19820352,8.455621829,sulfate
co2_m,SRR19820352,1.00E-06,carbon dioxide
tma_m,SRR19820352,1.00E-06,trimethylamine
mqn7_m,SRR19820352,0.477418589,Menaquinone 7
tmao_m,SRR19820352,14.39151658,Trimethylamine N-oxide
ppa_m,SRR19820352,1.00E-06,propionate
h2o_m,SRR19820352,1.00E-06,Water
so3_m,SRR19820352,1.00E-06,Sulfite
tsul_m,SRR19820352,2.97802545,thiosulfate(2-)
pac_m,SRR19820352,1.00E-06,phenylacetate
4hbz_m,SRR19820352,0.361868532,4-hydroxybenzoate
o2_m,SRR19820352,1.00E-06,O2
btd_RR_m,SRR19820352,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820352,1.00E-06,L-fucose
phenol_m,SRR19820352,1.00E-06,Phenol
isobut_m,SRR19820352,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820352,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820352,1.00E-06,Citrate
4hoxpacd_m,SRR19820352,0.067328733,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820352,1.00E-06,Isocaproate
nac_m,SRR19820352,0.095409183,Nicotinate
2obut_m,SRR19820352,0.245326507,2-Oxobutanoate
phpyr_m,SRR19820352,0.303950182,keto-phenylpyruvate
glcn_m,SRR19820352,1.00E-06,D-gluconate
ttdca_m,SRR19820352,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820352,1.00E-06,Riboflavin
ch4s_m,SRR19820352,1.00E-06,Methanethiol
ocdca_m,SRR19820352,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820352,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820352,1.00E-06,Xanthine
ppi_m,SRR19820352,0.000241866,Diphosphate
2hyoxplac_m,SRR19820352,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820352,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820352,1.00E-06,Hypoxanthine
thymd_m,SRR19820352,0.000356089,Thymidine
apio_D_m,SRR19820352,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820352,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820352,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820352,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820352,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820352,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
