metabolite,SampleID,flux,description
3ddlhept_m,SRR19820361,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820361,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820361,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820312,1.00E-06,proton
mqn8_m,SRR19820312,1.00E-06,Menaquinone 8
h2s_m,SRR19820312,5.071327418,Hydrogen sulfide
so4_m,SRR19820312,16.89308774,sulfate
co2_m,SRR19820312,7.315546541,carbon dioxide
tma_m,SRR19820312,23.04208013,trimethylamine
mqn7_m,SRR19820312,40.99913358,Menaquinone 7
tmao_m,SRR19820312,1.00E-06,Trimethylamine N-oxide
ppa_m,SRR19820312,2.612602244,propionate
h2o_m,SRR19820312,1.00E-06,Water
so3_m,SRR19820312,1.00E-06,Sulfite
tsul_m,SRR19820312,0.629944802,thiosulfate(2-)
pac_m,SRR19820312,0.418567187,phenylacetate
4hbz_m,SRR19820312,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820312,1.00E-06,O2
btd_RR_m,SRR19820312,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820312,1.00E-06,L-fucose
phenol_m,SRR19820312,1.00E-06,Phenol
isobut_m,SRR19820312,0.577135602,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820312,0.33697969,4-hydroxyphenylacetate
cit_m,SRR19820312,0.419195977,Citrate
4hoxpacd_m,SRR19820312,0.032509753,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820312,0.295019722,Isocaproate
nac_m,SRR19820312,0.19485357,Nicotinate
2obut_m,SRR19820312,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820312,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820312,1.00E-06,D-gluconate
ttdca_m,SRR19820312,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820312,0.06846411,Riboflavin
ch4s_m,SRR19820312,1.00E-06,Methanethiol
ocdca_m,SRR19820312,0.079477985,octadecanoate (n-C18:0)
hdca_m,SRR19820312,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820312,1.00E-06,Xanthine
ppi_m,SRR19820312,1.32E-06,Diphosphate
2hyoxplac_m,SRR19820312,0.017503192,2-Hydroxyphenylacetate
isoval_m,SRR19820312,0.018721224,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820312,1.00E-06,Hypoxanthine
thymd_m,SRR19820312,1.00E-06,Thymidine
apio_D_m,SRR19820312,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820312,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820312,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820312,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820312,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820312,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820311,16.98656457,proton
mqn8_m,SRR19820311,8.363374727,Menaquinone 8
h2s_m,SRR19820311,1.00E-06,Hydrogen sulfide
so4_m,SRR19820311,1.758092578,sulfate
co2_m,SRR19820311,1.018125742,carbon dioxide
tma_m,SRR19820311,1.00E-06,trimethylamine
mqn7_m,SRR19820311,0.767406061,Menaquinone 7
tmao_m,SRR19820311,2.302290779,Trimethylamine N-oxide
ppa_m,SRR19820311,1.00E-06,propionate
h2o_m,SRR19820311,1.00E-06,Water
so3_m,SRR19820311,1.00E-06,Sulfite
tsul_m,SRR19820311,0.284374279,thiosulfate(2-)
pac_m,SRR19820311,1.00E-06,phenylacetate
4hbz_m,SRR19820311,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820311,0.697956528,O2
btd_RR_m,SRR19820311,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820311,1.00E-06,L-fucose
phenol_m,SRR19820311,1.00E-06,Phenol
isobut_m,SRR19820311,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820311,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820311,1.00E-06,Citrate
4hoxpacd_m,SRR19820311,1.00E-06,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820311,1.00E-06,Isocaproate
nac_m,SRR19820311,0.098898841,Nicotinate
2obut_m,SRR19820311,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820311,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820311,1.00E-06,D-gluconate
ttdca_m,SRR19820311,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820311,1.00E-06,Riboflavin
ch4s_m,SRR19820311,1.00E-06,Methanethiol
ocdca_m,SRR19820311,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820311,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820311,1.00E-06,Xanthine
ppi_m,SRR19820311,3.76E-05,Diphosphate
2hyoxplac_m,SRR19820311,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820311,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820311,1.00E-06,Hypoxanthine
thymd_m,SRR19820311,1.00E-06,Thymidine
apio_D_m,SRR19820311,0.000800961,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820311,0.000266987,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820311,0.000533974,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820311,0.000533974,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820311,0.000533974,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
